Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 035: [6560, 189, 'Brookes Pharma Private Limited', 'CONTRATUBEX GEL 20G', 19, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0034, 'Zinc Stearate']
Row 036: [6560, 189, 'Brookes Pharma Private Limited', 'CONTRATUBEX GEL 20G', 19, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.138, 'Packing Tape']
Row 037: [6560, 189, 'Brookes Pharma Private Limited', 'CONTRATUBEX GEL 20G', 19, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.1449, 'Lacquer']
Row 038: [6560, 189, 'Brookes Pharma Private Limited', 'CONTRATUBEX GEL 20G', 19, 'JALI', 54, '19X200 J', 'pcs', 5, 'Jali']
Row 039: [6560, 189, 'Brookes Pharma Private Limited', 'CONTRATUBEX GEL 20G', 19, 'IRON AND METAL', 199, 'DIA 19 (1800) 5Ply', 'pcs', 0.55, 'Iron & Metal']
Row 040: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 041: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.31, 'Base Coat']
Row 042: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'CAP', 7370, 'M-9 S/M SPR BLACK DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 043: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.7, 'Cartons']
Row 044: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0034, 'Zinc']
Row 045: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.1449, 'Lacquer']
Row 046: [6077, 138, 'Mablay Beauty PVT LTD.', 'VINCE HIS ONLY BEARD & MUSTACHE COLOR CREAM', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'Tape']
Row 047: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 048: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 049: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 050: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 2.976, 'Cartons']
Row 051: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00409, 'Zinc Stearate']
Row 052: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
Row 053: [5698, 22, 'Samsol International Private Limited', 'S-45 DIA 20.5', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'Packing Tape']
Row 054: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 055: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 056: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 057: [5699, 21, 'Samsol International Private Limited', 'S-43 DIA 20.5', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.9607, 'Cartons']
