Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 138: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00587, 'Zinc Stearate']
Row 139: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.3737, 'Lacquer']
Row 140: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.0079, 'Packing Tape']
Row 141: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'INK', 3857, 'ORANGE (LOCAL)', 'kg', 0.33, 'Ink']
Row 142: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 143: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'Base Coat']
Row 144: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.28, 'Latex']
Row 145: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 146: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'CARTON', 45, '30X150 3Ply', 'PCS', 6.6666, 'Cartons']
Row 147: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'Lacquer']
Row 148: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Tape']
Row 149: [6337, 166, 'Al-Rehman Group', 'ACTIVE PRO HAIR COLOR CREAM 60ML', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'ZINC POWDER']
Row 150: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 151: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'Base Coat']
Row 152: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.28, 'Latex']
Row 153: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 154: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'CARTON', 3598, '25x336 5Ply', 'PCS', 4.2016, 'Cartons']
Row 155: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'Lacquer']
Row 156: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Tape']
Row 157: [6416, 171, 'Al-Rehman Group', 'SIGNATURE HAIR COLOR CREAM 60ML', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'ZINC POWDER']
Row 158: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 159: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'Base Coat']
Row 160: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.28, 'Latex']
Row 161: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 162: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'CARTON', 3598, '25x336 5Ply', 'PCS', 4.2016, 'Cartons']
Row 163: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'Zinc Stearate']
Row 164: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'Lacquer']
Row 165: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Packing Tape']
Row 166: [6206, 149, 'Golden Pearl Cosmetics (PVT) LTD', 'HELLO HAIR COLOR', 30, 'INK', 6935, 'GOLD V0221267-RF-401363', 'kg', 0.033, 'Ink']
Row 167: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 168: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.6684, 'Base Coat']
Row 169: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.12, 'Latex']
Row 170: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 171: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.2959, 'Lacquer']
Row 172: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Packing Tape']
Row 173: [5814, 95, 'Mablay Beauty PVT LTD.', 'VINCE NURTURAL', 30, 'CARTON', 3598, '25x336 5Ply', 'PCS', 4.202, 'Cartons']
Row 174: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 175: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.6684, 'Base Coat']
Row 176: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.12, 'Latex']
Row 177: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 178: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'CARTON', 45, '30X150 3Ply', 'PCS', 6.666, 'Cartons']
Row 179: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'Zinc Stearate']
Row 180: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.2959, 'Lacquer']
Row 181: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Packing Tape']
Row 182: [4050, 19, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'EAZICOLOR PREMIUM HAIR COLOUR 60ML', 30, 'JALI', 57, '30X150 J', 'pcs', 6.666, 'Jali']
Row 183: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 184: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'Base Coat']
Row 185: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'CARTON', 45, '30X150 3Ply', 'PCS', 6.6666, 'Cartons']
Row 186: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.28, 'Lacquer']
Row 187: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Tape']
Row 188: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'JALI', 57, '30X150 J', 'pcs', 6.6666, 'Jali']
Row 189: [6312, 157, 'Professional Beauty Solution (PVT) LTD.Pakistan', 'HIBA S HAIR COLOR 60ML', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00832, 'ZINC POWDER']
Row 190: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'SLUG', 406, '30X4.5 S/M', 'kg', 8, 'Aluminum Slugs']
Row 191: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.67, 'Base Coat']
Row 192: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.28, 'Latex']
Row 193: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'CAP', 3211, 'M-9 S/M SPR WHITE DIA 22 AUTO', 'PCS', 1000, 'Caps']
Row 194: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'CARTON', 3598, '25x336 5Ply', 'PCS', 4.2016, 'Cartons']
Row 195: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.28, 'Lacquer']
Row 196: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.008322, 'Zinc Stearate']
Row 197: [6595, 191, 'Seatle (Private) Limited', 'DOWFEN GEL 50G', 30, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.156, 'Packing Tape']
Row 198: [5782, 70, 'Mega Grey', 'M.G', 32, 'SLUG', 3935, '32x5.0', 'kg', 10.8632, 'Aluminum Slugs']
Row 199: [5782, 70, 'Mega Grey', 'M.G', 32, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.78, 'Base Coat']
Row 200: [5782, 70, 'Mega Grey', 'M.G', 32, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.7, 'Latex']
Row 201: [5782, 70, 'Mega Grey', 'M.G', 32, 'CAP', 1285, 'M-11 S/M F/P WHITE (LARGE)', 'PCS', 1000, 'Caps']
Row 202: [5782, 70, 'Mega Grey', 'M.G', 32, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 203: [5782, 70, 'Mega Grey', 'M.G', 32, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0096, 'Zinc Stearate']
Row 204: [5782, 70, 'Mega Grey', 'M.G', 32, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.1785, 'Lacquer']
Row 205: [5782, 70, 'Mega Grey', 'M.G', 32, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 206: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'SLUG', 3935, '32x5.0', 'kg', 10.8632, 'Aluminum Slugs']
Row 207: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.78, 'Base Coat']
Row 208: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.7, 'Latex']
Row 209: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'CAP', 1073, 'M-11 S/M F/P BLACK', 'PCS', 1000, 'Caps']
Row 210: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 211: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0096, 'Zinc Stearate']
Row 212: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.1785, 'Lacquer']
Row 213: [6515, 180, 'Hola Hair', 'H.H 100GM', 32, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 214: [6020, 130, 'Adore', 'ANVIL 43', 35, 'SLUG', 3503, '35X5.0', 'kg', 12.82, 'Aluminum Slugs']
Row 215: [6020, 130, 'Adore', 'ANVIL 43', 35, 'BASE COAT', 4156, 'BEIGE 5711200007', 'kg', 1.2, 'Base Coat']
Row 216: [6020, 130, 'Adore', 'ANVIL 43', 35, 'BASE COAT', None, 'YELLOW BASE COAT (Item ID unknown — confirm with ERP)', 'kg', 0.78, 'Base Coat']
Row 217: [6020, 130, 'Adore', 'ANVIL 43', 35, 'CAP', 1073, 'M-11 S/M F/P BLACK', 'PCS', 1000, 'Caps']
Row 218: [6020, 130, 'Adore', 'ANVIL 43', 35, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 219: [6020, 130, 'Adore', 'ANVIL 43', 35, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.01333, 'Zinc Stearate']
Row 220: [6020, 130, 'Adore', 'ANVIL 43', 35, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 221: [6020, 130, 'Adore', 'ANVIL 43', 35, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.5, 'Lacquer']
Row 222: [6020, 130, 'Adore', 'ANVIL 43', 35, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.7, 'Latex']
Row 223: [6021, 131, 'Adore', 'ANVIL 45', 35, 'SLUG', 3503, '35X5.0', 'kg', 12.82, 'Aluminum Slugs']
Row 224: [6021, 131, 'Adore', 'ANVIL 45', 35, 'BASE COAT', 4156, 'BEIGE 5711200007', 'kg', 1.2, 'Base Coat']
Row 225: [6021, 131, 'Adore', 'ANVIL 45', 35, 'BASE COAT', None, 'YELLOW BASE COAT (Item ID unknown — confirm with ERP)', 'kg', 0.78, 'Base Coat']
Row 226: [6021, 131, 'Adore', 'ANVIL 45', 35, 'CAP', 1073, 'M-11 S/M F/P BLACK', 'PCS', 1000, 'Caps']
Row 227: [6021, 131, 'Adore', 'ANVIL 45', 35, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 228: [6021, 131, 'Adore', 'ANVIL 45', 35, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.01333, 'Zinc Stearate']
Row 229: [6021, 131, 'Adore', 'ANVIL 45', 35, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 230: [6021, 131, 'Adore', 'ANVIL 45', 35, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.5, 'Lacquer']
Row 231: [6021, 131, 'Adore', 'ANVIL 45', 35, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.7, 'Latex']
Row 232: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'SLUG', 3503, '35X5.0', 'kg', 12.82, 'Aluminum Slugs']
Row 233: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.78, 'Base Coat']
Row 234: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 235: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 236: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0133, 'Zinc Stearate']
Row 237: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.16, 'Lacquer']
Row 238: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'STATIONARY', 495, 'CARTON LABEL', 'pcs', 6.06, 'Labels']
Row 239: [6530, 182, 'Adore', 'V- HC BROWN', 35, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 240: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'SLUG', 3503, '35X5.0', 'kg', 12.82, 'Aluminum Slugs']
Row 241: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.78, 'Base Coat']
Row 242: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'CAP', 578, 'M-12 S/M SPR WHITE DIA 30', 'PCS', 1000, 'Caps']
Row 243: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'CARTON', 3988, '35x180 5ply', 'PCS', 6.06, 'Cartons']
Row 244: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.0133, 'Zinc Stearate']
Row 245: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.16, 'Lacquer']
Row 246: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.168, 'Packing Tape']
Row 247: [6531, 183, 'Adore', 'V-HC BLACK', 35, 'STATIONARY', 495, 'CARTON LABEL', 'pcs', 6.06, 'Labels']
Row 248: [8001, 800, 'Alpha Labs PVT LTD', 'TRANSPARENT BOTTLE 150ML', '150 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 22, 'PET Resin']
Row 249: [8001, 800, 'Alpha Labs PVT LTD', 'TRANSPARENT BOTTLE 150ML', '150 ml', 'MASTER CARTON', 5977, 'MASTER CARTON 38"X24"X15.5"', 'PCS', 1.087, 'Master Carton']
Row 250: [8001, 800, 'Alpha Labs PVT LTD', 'TRANSPARENT BOTTLE 150ML', '150 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 8.696, 'Poly Bag']
Row 251: [8001, 800, 'Alpha Labs PVT LTD', 'TRANSPARENT BOTTLE 150ML', '150 ml', 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.027, 'Packing Tape']
Row 252: [8001, 800, 'Alpha Labs PVT LTD', 'TRANSPARENT BOTTLE 150ML', '150 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 253: [8005, 805, 'Samsol International Private Limited', 'PET BOTTLE SMALL (120ML) YELLOW', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.1, 'PET Resin']
Row 254: [8005, 805, 'Samsol International Private Limited', 'PET BOTTLE SMALL (120ML) YELLOW', '120 ml', 'MASTERBATCH', 4070, 'MASTER BATCH ONCOLOR YELLOW NE12340208-ZN', 'kg', 0.9, 'Masterbatch']
Row 255: [8005, 805, 'Samsol International Private Limited', 'PET BOTTLE SMALL (120ML) YELLOW', '120 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 256: [8005, 805, 'Samsol International Private Limited', 'PET BOTTLE SMALL (120ML) YELLOW', '120 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 257: [8011, 811, 'Samsol International Private Limited', 'BLACK SMALL BOTTLE 120ML', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.46, 'PET Resin']
Row 258: [8011, 811, 'Samsol International Private Limited', 'BLACK SMALL BOTTLE 120ML', '120 ml', 'MASTERBATCH', 7412, 'MASTER BATCH BLACK DP# 6411', 'kg', 0.54, 'Masterbatch']
Row 259: [8011, 811, 'Samsol International Private Limited', 'BLACK SMALL BOTTLE 120ML', '120 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 260: [8011, 811, 'Samsol International Private Limited', 'BLACK SMALL BOTTLE 120ML', '120 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 261: [8012, 812, 'Samsol International Private Limited', 'WHITE SMALL BOTTLE 120ML', '120 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 17.1, 'PET Resin']
Row 262: [8012, 812, 'Samsol International Private Limited', 'WHITE SMALL BOTTLE 120ML', '120 ml', 'MASTERBATCH', 5816, 'MASTER BATCH WHITE PRC-MC ET02340000', 'kg', 0.9, 'Masterbatch']
Row 263: [8012, 812, 'Samsol International Private Limited', 'WHITE SMALL BOTTLE 120ML', '120 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 264: [8012, 812, 'Samsol International Private Limited', 'WHITE SMALL BOTTLE 120ML', '120 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 265: [8010, 810, 'Alpha Labs PVT LTD', 'PET BOTTLE SMALL (130ML) TRANSPARENT', '130 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 18, 'PET Resin']
Row 266: [8010, 810, 'Alpha Labs PVT LTD', 'PET BOTTLE SMALL (130ML) TRANSPARENT', '130 ml', 'MASTER CARTON', 5977, 'MASTER CARTON 38"X24"X15.5"', 'PCS', 1.667, 'Master Carton']
Row 267: [8010, 810, 'Alpha Labs PVT LTD', 'PET BOTTLE SMALL (130ML) TRANSPARENT', '130 ml', 'POLY BAG', 2267, 'POLY BAG 20X30 (LDPE)', 'PCS', 10, 'Poly Bag']
Row 268: [8010, 810, 'Alpha Labs PVT LTD', 'PET BOTTLE SMALL (130ML) TRANSPARENT', '130 ml', 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.042, 'Packing Tape']
Row 269: [8010, 810, 'Alpha Labs PVT LTD', 'PET BOTTLE SMALL (130ML) TRANSPARENT', '130 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 270: [8006, 806, 'Samsol International Private Limited', 'PET BOTTLE LARGE (200 ML) YELLOW', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 23.75, 'PET Resin']
Row 271: [8006, 806, 'Samsol International Private Limited', 'PET BOTTLE LARGE (200 ML) YELLOW', '200 ml', 'MASTERBATCH', 4070, 'MASTER BATCH ONCOLOR YELLOW NE12340208-ZN', 'kg', 1.25, 'Masterbatch']
Row 272: [8006, 806, 'Samsol International Private Limited', 'PET BOTTLE LARGE (200 ML) YELLOW', '200 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 273: [8006, 806, 'Samsol International Private Limited', 'PET BOTTLE LARGE (200 ML) YELLOW', '200 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 274: [8007, 807, 'Samsol International Private Limited', 'PET BOTTLE LARGE 200ML WHITE', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 23.75, 'PET Resin']
Row 275: [8007, 807, 'Samsol International Private Limited', 'PET BOTTLE LARGE 200ML WHITE', '200 ml', 'MASTERBATCH', 5816, 'MASTER BATCH WHITE PRC-MC ET02340000', 'kg', 1.25, 'Masterbatch']
Row 276: [8007, 807, 'Samsol International Private Limited', 'PET BOTTLE LARGE 200ML WHITE', '200 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 277: [8007, 807, 'Samsol International Private Limited', 'PET BOTTLE LARGE 200ML WHITE', '200 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 278: [8008, 808, 'Samsol International Private Limited', 'BLACK BOTTLE 200ML', '200 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 24.25, 'PET Resin']
Row 279: [8008, 808, 'Samsol International Private Limited', 'BLACK BOTTLE 200ML', '200 ml', 'MASTERBATCH', 7412, 'MASTER BATCH BLACK DP# 6411', 'kg', 0.75, 'Masterbatch']
Row 280: [8008, 808, 'Samsol International Private Limited', 'BLACK BOTTLE 200ML', '200 ml', 'POLY BAG', 3006, 'POLY BAG 24X36 (LDPE)', 'PCS', 8.333, 'Poly Bag']
Row 281: [8008, 808, 'Samsol International Private Limited', 'BLACK BOTTLE 200ML', '200 ml', 'PLASTIC DOORI', 3043, 'PLASTIC DOORI', 'ROLL', 0.005, 'Packing']
Row 282: [8009, 809, 'Mablay Beauty PVT LTD.', 'TRANSPARENT BOTTLE 300ML', '300 ml', 'PET RESIN', 2680, 'PET RESIN A-84', 'kg', 25, 'PET Resin']
Row 283: [8009, 809, 'Mablay Beauty PVT LTD.', 'TRANSPARENT BOTTLE 300ML', '300 ml', 'MASTER CARTON', 3621, 'MASTER CARTON 34.7 X 59.5 X 34.5', 'PCS', 7.143, 'Master Carton']
